0.0606231, 0.0454545
0.0133196, 0
0.0148002, 0.0111111
0.0329229, 0
0.143986, 0.0367965
0.03131, 0.0228311
0.0451539, 0
0.0399989, 0
0.0376533, 0
0.0279234, 0.00239808
0.0383759, 0.0140845
0.374827, 0.375
0.0222901, 0
0.014056, 0.0204082
0.0533134, 0
0.0200442, 0
0.0280036, 0
0.0136918, 0.00900901
0.0178404, 0.016
0.0632128, 0
0.0635432, 0.0111111
0.0119391, 0
0.028606, 0.0104167
0.047177, 0.0410959
0.0191451, 0.00645161
0.0101681, 0.0133333
0.00803748, 0
0.026964, 0.00568182
0.012694, 0
0.021976, 0
0.0253758, 0
0.0944326, 0.0136986
0.0165427, 0
0.0831623, 0.0283019
0.0850157, 0.00877193
0.0201891, 0.0112994
0.0209631, 0.0163043
0.0426732, 0
0.0326339, 0.008
0.0350255, 0
0.0152344, 0.0105263
0.0124593, 0.0526316
0.0172425, 0.00621118
0.0453818, 0.0108893
0.023821, 0.0133333
0.063287, 0.00917431
0.0153999, 0
0.0817558, 0.0514286
0.0265324, 0.019802
0.00809047, 0.0169492
0.010035, 0
